diametro_rosca,diametro_haste,diametro_raiz,comprimento,class
5.0,3.3,1.0,0.3,SEXTAVADO
7.0,3.2,4.7,1.0,PHILIPS
6.4,3.2,4.5,1.5,PHILIPS
6.9,3.1,4.9,1.5,PHILIPS
5.5,2.3,4.0,1.3,PHILIPS
6.5,2.8,4.6,1.5,PHILIPS
5.7,2.8,4.5,1.3,PHILIPS
6.3,3.3,4.7,1.6,PHILIPS
4.9,2.4,3.3,1.0,PHILIPS
6.6,2.9,4.6,1.3,PHILIPS
5.2,2.7,3.9,1.0,PHILIPS
5.0,2.0,3.4,1.0,PHILIPS
5.9,3.0,4.2,1.5,PHILIPS
6.0,2.2,4.0,1.0,PHILIPS
6.1,2.9,4.7,1.0,PHILIPS
5.6,2.9,3.6,1.3,PHILIPS
6.7,3.1,4.4,1.0,PHILIPS
5.6,3.0,4.5,1.5,PHILIPS
5.8,2.7,4.1,1.0,PHILIPS
6.2,2.2,4.5,1.5,PHILIPS
5.6,2.5,3.9,1.1,PHILIPS
5.9,3.2,4.8,1.8,PHILIPS
6.1,2.8,4.0,1.3,PHILIPS
6.3,2.5,4.9,1.5,PHILIPS
6.1,2.8,4.7,1.2,PHILIPS
6.4,2.9,4.3,1.3,PHILIPS
6.6,3.0,4.4,1.0,PHILIPS
6.8,2.8,4.8,1.0,PHILIPS
6.7,3.0,5.0,1.7,PHILIPS
6.0,2.9,4.5,1.5,PHILIPS
5.7,2.6,3.4,1.0,PHILIPS
5.5,2.4,3.8,1.1,PHILIPS
5.5,2.4,3.7,1.0,PHILIPS
5.8,2.7,3.9,1.2,PHILIPS
6.0,2.7,5.2,1.6,PHILIPS
5.4,3.0,4.5,1.5,PHILIPS
6.0,3.4,4.5,1.6,PHILIPS
6.7,3.1,4.7,1.5,PHILIPS
6.3,2.3,4.4,1.3,PHILIPS
5.6,3.0,4.1,1.3,PHILIPS
5.5,2.5,4.0,1.3,PHILIPS
5.5,2.6,4.4,1.2,PHILIPS
6.1,3.0,4.6,1.0,PHILIPS
5.8,2.6,4.0,1.2,PHILIPS
5.0,2.3,3.3,1.0,PHILIPS
5.6,2.7,4.2,1.3,PHILIPS
5.7,3.0,4.2,1.2,PHILIPS
5.7,2.9,4.2,1.3,PHILIPS
6.2,2.9,4.3,1.3,PHILIPS
5.2,2.5,3.0,1.1,PHILIPS
5.7,2.8,4.1,1.3,PHILIPS
6.3,3.3,6.0,2.5,ALLEN
5.8,2.7,5.2,1.9,ALLEN
7.1,3.0,5.9,2.1,ALLEN
6.3,2.9,5.6,1.8,ALLEN
6.5,3.0,5.8,2.2,ALLEN
7.6,3.0,6.6,2.1,ALLEN
4.9,2.5,4.5,1.7,ALLEN
7.3,2.9,6.3,1.8,ALLEN
6.7,2.5,5.8,1.8,ALLEN
7.2,3.6,6.1,2.5,ALLEN
6.5,3.2,5.2,2.0,ALLEN
6.4,2.7,5.3,1.9,ALLEN
6.8,3.0,5.5,2.1,ALLEN
5.7,2.5,5.0,2.0,ALLEN
5.8,2.8,5.2,2.4,ALLEN
6.4,3.2,5.3,2.3,ALLEN
6.5,3.0,5.5,1.8,ALLEN
7.7,3.8,6.7,2.2,ALLEN
7.7,2.6,6.9,2.3,ALLEN
6.0,2.2,5.0,1.5,ALLEN
6.9,3.2,5.7,2.3,ALLEN
5.6,2.8,4.9,2.0,ALLEN
7.7,2.8,6.7,2.0,ALLEN
6.3,2.7,4.9,1.8,ALLEN
6.7,3.3,5.7,2.1,ALLEN
7.2,3.2,6.0,1.8,ALLEN
6.2,2.8,4.8,1.8,ALLEN
6.1,3.0,4.9,1.8,ALLEN
6.4,2.8,5.6,2.1,ALLEN
7.2,3.0,5.8,1.6,ALLEN
7.4,2.8,6.1,1.9,ALLEN
7.9,3.8,6.4,2.0,ALLEN
6.4,2.8,5.6,2.2,ALLEN
6.3,2.8,5.2,1.5,ALLEN
6.1,2.6,5.6,1.0,ALLEN
7.7,3.0,6.1,2.3,ALLEN
6.3,3.4,5.6,2.4,ALLEN
6.4,3.1,5.5,1.8,ALLEN
6.0,3.0,4.8,1.8,ALLEN
6.9,3.1,5.4,2.1,ALLEN
6.7,3.1,5.6,2.4,ALLEN
6.9,3.1,5.2,2.3,ALLEN
5.8,2.7,5.2,1.9,ALLEN
6.8,3.2,5.9,2.3,ALLEN
6.7,3.3,5.7,2.5,ALLEN
6.7,3.0,5.2,2.3,ALLEN
6.3,2.5,5.0,1.9,ALLEN
6.5,3.0,5.2,2.0,ALLEN
6.2,3.4,5.4,2.3,ALLEN
5.9,3.0,5.2,1.8,ALLEN
